#Table1
z,ra,dec,bestObjID
6.726342,181.57077,60.988176,0
6.497554,179.51483,58.182367,1237657612876710380
6.497334,180.07347,60.432879,1237655108913791286
6.419885,181.31722,59.74629,1237658311866516140
6.135136,179.01387,59.9248,1237655108376658390
